 O  X X  ;0,0,1,1,0,1,0,1,1
  XOOX   ;1,1,0,0,0,0,0,1,1
X XOOXO  ;0,1,0,0,0,0,0,0,1
 OX X    ;0,0,0,1,0,0,0,1,1
X  OOXOX ;0,5,1,0,0,0,0,0,1
XOXOOXOX ;0,0,0,0,0,0,0,0,5
 X  O XO ;1,0,1,1,0,0,0,0,1
 X XOOXO ;1,0,0,0,0,0,0,0,1
  O X X  ;1,0,0,1,0,1,0,0,1
  O XXXO ;0,1,0,1,0,0,0,0,1
OX XOX O ;0,0,4,0,0,0,1,0,1
OXOXOXXO ;0,0,0,0,0,0,0,0,4
   OX   X;1,1,0,0,0,1,1,1,0
XOXOO OXX;0,0,0,0,0,10,0,0,0
  XXOOOX ;6,1,0,0,0,0,0,0,1
  O XX   ;1,1,0,1,0,0,1,0,1
   XXO OX;1,1,0,0,0,0,1,0,0
    XO X ;1,2,1,1,0,0,1,0,1
 OX XO X ;1,0,0,1,0,0,2,0,1
 OXXXOOX ;2,0,0,0,0,0,0,0,1
    X X O;0,0,1,0,0,0,0,1,0
X   O    ;0,5,8,1,0,1,0,1,1
XO  O  X ;0,0,1,1,0,5,1,0,1
XO  OOXX ;0,0,1,4,0,0,0,0,1
  X X   O;0,0,0,0,0,0,0,0,0
XOO X X  ;0,0,0,1,0,0,0,1,1
  XOX  XO;0,1,0,0,0,1,1,0,0
    X XO ;0,0,0,0,0,1,0,0,1
X O X XO ;0,0,0,1,0,1,0,0,1
X  OX    ;0,1,1,0,0,1,1,0,1
  XOX    ;0,0,0,0,0,0,1,1,1
  X XO   ;0,1,0,1,0,0,1,1,1
  X XOOX ;2,1,0,1,0,0,0,0,1
O XXXOOX ;0,2,0,0,0,0,0,0,1
 O OOXXX ;0,0,1,0,0,0,0,0,1
X   XO   ;0,1,0,1,0,0,1,1,1
X   O X O;0,0,0,1,0,1,0,1,0
X O OXX O;0,0,0,1,0,0,0,1,0
XO  O XXO;0,0,0,1,0,1,0,0,0
      X  ;0,1,1,1,1,1,0,0,1
OXOOOXX X;0,0,0,0,0,0,0,2,0
O   XOX X;0,0,1,1,0,0,0,1,0
O XXOO X ;0,2,0,0,0,0,1,0,1
OXXXOO   ;0,0,0,0,0,0,2,1,1
OXXXOOO X;0,0,0,0,0,0,0,3,0
 O  X   X;1,0,1,1,0,1,0,1,0
XO XOO X ;0,0,1,0,0,0,2,0,1
XOXXOOOX ;0,0,0,0,0,0,0,0,2
X   X O  ;0,0,1,0,0,1,0,0,1
 X OOXXO ;3,0,6,0,0,0,0,0,1
OX OOXXOX;0,0,3,0,0,0,0,0,0
  X X  O ;1,1,0,0,0,1,1,0,1
X O X    ;0,1,0,1,0,0,1,0,1
  X XOO X;1,1,0,0,0,0,0,1,0
X X O O  ;0,1,0,0,0,1,0,1,1
X O O X  ;0,1,0,2,0,7,0,1,1
X OOOXX  ;0,2,0,0,0,0,0,1,1
XOOOOXXX ;0,0,0,0,0,0,0,0,2
   OX  X ;1,1,0,0,0,1,1,0,1
  OOX X X;1,0,0,0,0,1,0,1,0
 XOOOXXOX;3,0,0,0,0,0,0,0,0
X  OOXXO ;0,7,1,0,0,0,0,0,1
  XOOXOX ;4,1,0,0,0,0,0,0,1
   XX   O;1,1,0,0,0,1,1,1,0
XXOOOXXO ;0,0,0,0,0,0,0,0,4
  OXX    ;1,1,0,0,0,1,1,0,1
  O X   X;0,1,0,0,0,0,1,1,0
OXOOX X X;0,0,0,0,0,0,0,1,0
  X X OXO;1,0,0,1,0,1,0,0,0
 OXXX OXO;0,0,0,0,0,1,0,0,0
OXXXOOOX ;0,0,0,0,0,0,0,0,4
O XXOO  X;0,3,0,0,0,0,1,1,0
 XX OOO X;1,0,0,4,0,0,0,1,0
 O  XX   ;0,0,1,1,0,0,1,1,1
   XO  X ;1,1,1,0,0,0,1,0,1
   XOOXX ;1,1,0,0,0,0,0,0,1
X O OOX X;0,1,0,7,0,0,0,1,0
    X OX ;1,1,0,1,0,1,0,0,1
OX  X    ;0,0,0,1,0,1,1,1,1
X O XX O ;0,1,0,1,0,0,0,0,1
XO OOXOXX;0,0,4,0,0,0,0,0,0
